loan_id,customer_id,loan_amount,interest_rate,repayment_term
1,44627,6516.41,0.0789,4
2,41586,90709.74,0.0752,3
3,30128,2801.64,0.0655,1
4,23937,50051.45,0.0778,4
5,84151,41324.79,0.0697,2
6,78392,79525.19,0.0542,1
7,58483,72444.72,0.0579,3
8,96614,76745.21,0.0758,4
9,85332,40380.23,0.0764,2
10,14710,83182.39,0.0959,4
11,570,24163.72,0.0898,5
12,38447,44974.56,0.0517,3
13,9048,30417.83,0.0905,1
14,72079,21200.58,0.0775,3
15,19117,25823.54,0.0729,4
16,70634,39048.01,0.0901,3
17,69915,4562.69,0.0961,5
18,61991,99388.01,0.0975,3
19,47854,90951.45,0.0661,1
20,24441,40426.28,0.0964,2
21,25543,17230.82,0.0943,3
22,9643,76488.83,0.0956,1
23,25815,97318.32,0.0693,4
24,39779,99428.92,0.0956,5
25,37808,48535.5,0.069,5
26,35997,5773.12,0.06,3
27,11325,83567.2,0.0745,3
28,63545,91140.44,0.0969,1
29,56166,50798.23,0.0526,1
30,73311,95138.8,0.0766,1
31,34942,97868.96,0.0684,1
32,91520,85855.5,0.0775,3
33,48846,70302.49,0.0989,4
34,53560,83049.84,0.0909,5
35,19372,16940.03,0.0855,4
36,28601,83420.96,0.0677,3
37,37905,44477.06,0.0875,3
38,93880,51807.09,0.0899,5
39,15295,21388.73,0.0636,2
40,54757,46446.07,0.0665,2
41,605,60106.57,0.0819,3
42,24708,87324.83,0.0791,4
43,39939,63506.67,0.0927,2
44,64796,68068.76,0.0669,2
45,55620,68478.94,0.0984,5
46,95492,60167.8,0.0598,3
47,96497,91595.18,0.0775,3
48,10801,56495.11,0.0596,2
49,26682,28557.33,0.0956,2
50,68850,49392.51,0.0725,3
51,9715,11882.14,0.0913,1
52,777,95551.35,0.0857,2
53,30852,35103.47,0.0661,2
54,47801,10667.85,0.0923,3
55,88260,67950.98,0.0516,2
56,12614,87547.03,0.0892,4
57,99017,86128.82,0.0719,4
58,17452,76464.95,0.061,2
59,40415,64749.94,0.0634,1
60,75126,68764.16,0.0905,5
61,18285,58299.14,0.0756,2
62,78794,27304.54,0.0605,5
63,44888,28187.84,0.0745,2
64,34061,90882.56,0.0971,2
65,16663,30597.23,0.0515,4
66,4873,16886.9,0.0678,1
67,79045,16660.79,0.0614,1
68,58425,15287.65,0.0502,3
69,18520,53923.9,0.0986,5
70,12499,9950.65,0.0772,3
71,62335,38305.48,0.0769,3
72,15994,89939.89,0.0575,1
73,57969,14950.86,0.0983,2
74,83708,21225.88,0.0877,3
75,12840,92785.54,0.0719,2
76,76069,36111.83,0.0761,2
77,27222,32811.85,0.0676,5
78,44873,97146.99,0.054,3
79,12460,24706.53,0.0582,4
80,79257,87257.59,0.09,2
81,50056,80999.81,0.0897,5
82,95771,63114.89,0.0686,5
83,46626,68996.87,0.0952,1
84,80075,30528.46,0.0658,4
85,6352,76050.66,0.0661,4
86,64705,84992.51,0.0697,1
87,61755,13047.46,0.0849,3
88,21805,30489.2,0.052,3
89,30268,7648.65,0.0977,1
90,29544,91503.37,0.0533,1
91,35901,80344.72,0.0883,1
92,31086,24086.61,0.0649,2
93,49963,26955.16,0.0886,2
94,8900,12280.44,0.0939,1
95,32924,16991.34,0.074,4
96,97107,9776.59,0.0913,5
97,52524,24456.96,0.0673,2
98,27525,60070.53,0.0857,3
99,18642,9501.25,0.0906,1
100,43187,83777.78,0.0567,5
101,20056,51496.83,0.0771,5
102,38161,2112.03,0.087,1
103,68704,29399.81,0.0872,2
104,11649,41194.98,0.0564,3
105,47662,42523.8,0.0927,2
106,84855,98667.91,0.053,5
107,51307,96280.43,0.0766,5
108,39320,7378.32,0.0609,3
109,77319,27730.14,0.0698,3
110,88132,83315.81,0.0809,5
111,92868,23976.38,0.0832,4
112,82042,80256.33,0.0579,2
113,94563,60065.66,0.0721,5
114,81803,66291.12,0.0937,5
115,14084,83573.62,0.0587,1
116,75351,97761.03,0.0603,5
117,18670,44827.91,0.0813,4
118,9910,68934.2,0.0542,2
119,95707,48247.17,0.0552,4
120,92263,34472.6,0.0891,2
121,56419,11026.78,0.0953,5
122,97415,2192.48,0.095,3
123,16284,7474.23,0.0945,1
124,20136,8202.84,0.0751,5
125,39040,65192.17,0.0914,3
126,56459,60102.73,0.0931,4
127,83968,56250.93,0.0934,2
128,5246,75109.92,0.0926,2
129,2129,14757.37,0.0738,5
130,6218,88910.03,0.0921,2
131,99818,66167.97,0.0956,1
