transaction_id,account_id,transaction_type,transaction_amount,transaction_date
1,71413,Transfer,-527.51,2023-03-16
2,83992,Deposit,-38.31,2023-03-25
3,55984,Transfer,-316.47,2023-03-05
4,55639,Withdrawal,723.56,2023-03-26
5,29084,Transfer,438.32,2023-03-12
6,98799,Deposit,943.93,2023-03-06
7,63575,Transfer,353.26,2023-03-01
8,38386,Withdrawal,-407.03,2023-03-16
9,28226,Transfer,-245.7,2023-03-11
10,65941,Transfer,874.79,2023-03-19
11,32437,Transfer,-131.37,2023-03-20
12,6656,Deposit,533.64,2023-03-17
13,64937,Transfer,707.63,2023-03-25
14,83420,Withdrawal,-998.7,2023-03-30
15,53248,Transfer,-81.15,2023-03-27
16,90743,Transfer,695.46,2023-03-07
17,56223,Transfer,-215.6,2023-03-19
18,51349,Transfer,463.03,2023-03-08
19,95843,Withdrawal,692.97,2023-03-28
20,61291,Transfer,-485.46,2023-03-02
21,15082,Transfer,827.29,2023-03-06
22,22996,Withdrawal,-872.37,2023-03-16
23,78139,Withdrawal,597.31,2023-03-15
24,79504,Transfer,795.39,2023-03-29
25,1461,Deposit,479.97,2023-03-03
26,59955,Withdrawal,774.67,2023-03-29
27,91037,Deposit,-927.65,2023-03-28
28,97794,Withdrawal,162.45,2023-03-17
29,41535,Deposit,-937.34,2023-03-16
30,69768,Withdrawal,-273.33,2023-03-15
31,61966,Deposit,601.4,2023-03-03
32,94299,Withdrawal,240.55,2023-03-14
33,97814,Transfer,158.2,2023-03-17
34,34915,Transfer,240.3,2023-03-09
35,25023,Transfer,-374.57,2023-03-25
36,82482,Withdrawal,503.0,2023-03-01
37,98050,Deposit,-349.03,2023-03-02
38,44643,Withdrawal,-631.26,2023-03-08
39,51716,Transfer,790.82,2023-03-17
40,48136,Withdrawal,-418.93,2023-03-23
41,98213,Deposit,-294.94,2023-03-11
42,92479,Transfer,867.3,2023-03-01
43,45964,Transfer,-609.62,2023-03-29
44,85292,Withdrawal,872.87,2023-03-04
45,64329,Deposit,-275.71,2023-03-15
46,24978,Deposit,-133.79,2023-03-24
47,26641,Withdrawal,-878.98,2023-03-05
48,24604,Transfer,302.45,2023-03-26
49,94378,Transfer,-946.12,2023-03-16
50,14853,Withdrawal,-93.94,2023-03-14
51,81805,Withdrawal,-845.25,2023-03-26
52,7706,Transfer,-723.37,2023-03-27
53,27042,Transfer,836.11,2023-03-29
54,27675,Deposit,-842.95,2023-03-05
55,32049,Withdrawal,519.83,2023-03-20
56,28065,Deposit,40.71,2023-03-26
57,21910,Transfer,-852.37,2023-03-07
58,91858,Withdrawal,-206.83,2023-03-24
59,75674,Withdrawal,-861.41,2023-03-09
60,61072,Transfer,-716.0,2023-03-27
61,91739,Transfer,172.65,2023-03-14
62,65699,Transfer,188.4,2023-03-27
63,6131,Withdrawal,-614.76,2023-03-05
64,33476,Deposit,15.33,2023-03-25
65,57689,Withdrawal,-909.83,2023-03-24
66,5303,Transfer,-208.7,2023-03-24
67,10394,Transfer,464.39,2023-03-29
68,69347,Withdrawal,-43.3,2023-03-12
69,33635,Withdrawal,-708.56,2023-03-24
